basisofrecord	stateprovince	family	genus	species	scientificname	yearcollected	monthcollected	daycollected	county	locality	longitude	latitude	minimumelevation	maximumelevation	notes
PreservedSpecimen	Ceará	Verbenaceae	Lippia	origanoides	Lippia origanoides	2003	05	22	Tabuleiro do Norte	Sto. Antônio da Ladeira, Chapada do Apodi	-38.1306	-5.24667			<nO>Arbusto alto, flor creme, muito frequente.</nO>
PreservedSpecimen	Ceará	Fabaceae	Geoffroea	spinosa	Geoffroea spinosa	1999	10	09	Tabuleiro do Norte	Margem do Rio Banabuiu.	-38.1306	-5.24667			<nO>Árvore mediana.. Flor Amarela.</nO>
PreservedSpecimen	Ceará	Acanthaceae	Harpochilus	paraibanus	Harpochilus paraibanus	2003	05	22	Tabuleiro do Norte	Chapada do Apodi, Sítio Antônio da Ladeira.	-38.1306	-5.24667			<nO>Erva, flor amarela pálida.</nO>
PreservedSpecimen	Ceará	Acanthaceae	Harpochilus	paraibanus	Harpochilus paraibanus	2010	05	03	Tabuleiro do Norte		-38.1306	-5.24667			<nO>Arbusto; flor amarela.</nO>
PreservedSpecimen	Ceará	Plantaginaceae	Bacopa	gratioloides	Bacopa gratioloides	2013	12	04	Tabuleiro do Norte	congl. 238, sub. 3, árv. 1H.	-37.980008	-5.399994			<nO>Inventário Florestal Nacional - CE; Herbácea.</nO>
PreservedSpecimen	Ceará	Rubiaceae	Borreria	apodiensis	Borreria apodiensis	2015	05	28	Limoeiro do Norte	Chapada do Apodi, margem de estrada carroçável entre Limoeiro do Norte e a fronteira com o estado do Rio Grande do Norte.	-37.873611	-5.304722	144	144	<nO>Projeto PPBio-Semiárido (Processo CNPq 457427/2012-4).; Erva ereta, 5-15 cm alt.; caules verde-amarelados; folhas herbáceas; flores com cálice verde-claro e corola alva; frutos imaturos, verde-claros. Coletada em ambiente seco, sob es</nO>
PreservedSpecimen	Ceará	Acanthaceae	Dicliptera	ciliaris	Dicliptera ciliaris	1996	09	04	Tabuleiro do Norte	Chapada do Apodi, À sombra de juazeiro	-38.1306	-5.24667			<nO>Caatinga/Mata úmida</nO>
PreservedSpecimen	Ceará	Formicidae	Pheidole	jelskii	Pheidole jelskii					Rocha	-38.1	-5.35			
PreservedSpecimen	Ceará	Formicidae	Pheidole	jelskii	Pheidole jelskii					Rocha	-38.1	-5.35			
PreservedSpecimen	Ceará	Cordiaceae	Varronia	leucocephala	Varronia leucocephala	2014	03	11	Tabuleiro do Norte	Estrada Lateral, BR Km 12 para Mossoró.	-38.1306	-5.24667	160		<nO>Folhas: discolores Cálice: verde Corola: alva Habitat: Caatinga Habito: Arbusto escandente</nO>
PreservedSpecimen	Ceará	Boraginaceae	Heliotropium		Heliotropium	2014	3	11	Tabuleiro do Norte		-38.1306	-5.24667	120		<nO>Arbusto escandente 2m, raro; flores esverdeadas.;Caatinga.</nO>
PreservedSpecimen	Ceará	Combretaceae	Combretum	leprosum	Combretum leprosum	2014	3	11	Tabuleiro do Norte		-38.1306	-5.24667	160		<nO>Arbusto escandente ca. 2-3m, muito frequente. Cálice verde e corola amarela;Caatinga</nO>
PreservedSpecimen	Ceará	Fabaceae	Cenostigma	pyramidale	Cenostigma pyramidale	2014	3	11	Tabuleiro do Norte		-38.1306	-5.24667	140		<nO>Árvore ca. 3m. Flores amarelas, com um guia de néctar viscoso, frutos verdes;</nO>
PreservedSpecimen	Ceará	Fabaceae	Anadenanthera	colubrina	Anadenanthera colubrina cebil	2006	11	01	Tabuleiro do Norte	Sitio Sabiá.	-38.1306	-5.24667	158		<nO>árvore, mais ou menos 5m, independente, flor creme, fruto marrom, frequência rara. Usos: forrageiro, medicinal</nO>
PreservedSpecimen	Ceará	Fabaceae	Centrosema	pascuorum	Centrosema pascuorum	1987	06	27	Tabuleiro do Norte	Rodovia Juazeiro do norte - russa; a 5 km sul do Rio Jaguaribe (Br 116).	-38.1666667	-5.2666667	50		<nO>volúvel (estolonifera), fruto marrom - claro, solo arenoso, litolítico. Comum</nO>
PreservedSpecimen	Ceará	Acanthaceae	Justicia	aequilabris	Justicia aequilabris	2015	05	28	Tabuleiro do Norte	Chapada do Apodi.	-37.8736111	-5.3047222	144		<nO>Subarbusto ereto. Caules castanhos a esverdeados. Folhas cartáceas. Flores com cálice verde e corola vermelha. Habitat: Caatinga arbustiva Habito: Subarbusto</nO>
PreservedSpecimen	Ceará	Ricciaceae	Riccia	vitalii	Riccia vitalii	1972	1	24	Alto Santo		-38.161667	-5.311389	70		<nO>Growing on thin layer up soil covering rock substratum. Exc.: SP 087724</nO>
PreservedSpecimen	Ceará	Ricciaceae	Riccia	vitalii	Riccia vitalii	1972	01	24	Alto Santo		-38.161667	-5.311389	70	70	<nO>Doação duplicata SP 087724; Growing on thin layer up soil covering rock substratum.</nO>
PreservedSpecimen	Ceará	Ricciaceae	Riccia	vitalii	Riccia vitalii	1972	01	24	Alto Santo		-38.161667	-5.311389	70	70	<nO>Doação duplicata SP 087724; Growing on thin layer up soil covering rock substratum.</nO>
PreservedSpecimen	Ceará	Acanthaceae	Justicia		Justicia	2010	5	3	Tabuleiro do Norte		-38.116667	-5.233333			<nO>flor amarela.</nO>
PreservedSpecimen	Ceará	Cactaceae	Tacinga	inamoena	Tacinga inamoena	2012	6	26	Tabuleiro do Norte		-38.1306	-5.24667			<nO>Planta subarbustiva com cladódios orbiculares ou obovados. Caule principal, ereto ou em expansão, espinhos ausentes, numerosos gloquídios principalmente escondidos dentro das aréolas. Flores perto do ápice de segmentos terminais, pericarpelo globoso, alaranjada, estames expostos. Frutos com aproximadamente 40mm de diâmetro, globoso, variando do amarelo ao laranja fosco, polpa funicular transluzente, com muitas sementes por fruto, de 3mm de diâmetro, comestível.;</nO>
PreservedSpecimen	Ceará	Dioscoreaceae	Dioscorea		Dioscorea	2014	3	11	Tabuleiro do Norte		-38.1306	-5.24667	140		<nO>Sobre mofumbo, indivíduo com flores masculinas. Trepadeira, flor verde;</nO>
PreservedSpecimen	Ceará	Malvaceae	Herissantia	tiubae	Herissantia tiubae	2014	3	11	Tabuleiro do Norte		-38.1306	-5.24667	140		<nO>Arbusto ca. 1,5-2m nas frestas da rocha calcárea. Folhas levemente discolores, cálice verde, corola alva, estames amarelos;</nO>
PreservedSpecimen	Ceará	Erythroxylaceae	Erythroxylum	nummularia	Erythroxylum nummularia	2014	3	11	Tabuleiro do Norte	Olha d'água da Bica.	-38.1306	-5.24667	140		<nO>Árvore ca. 3m, folhas discolores, frutos verdes. Raro, no calcáreo.;Lajedo com afloramento</nO>
PreservedSpecimen	Ceará	Convolvulaceae	Ipomoea	bahiensis	Ipomoea bahiensis	2015	05	28	Limoeiro do Norte	Chapada do Apodi. Margem de estrada carroçável entre Limoeiro do Norte e a fronteira com o estado do Rio Grande do Norte.	-37.873611	-5.304722	144	144	
PreservedSpecimen	Ceará	Leguminosae Subfam. Papilionoideae	Geoffroea	spinosa	Geoffroea spinosa	1999	10	09	Tabuleiro do Norte	margem do Rio Banabuiu.	-38.1306	-5.24667			
PreservedSpecimen	Ceará	Acanthaceae	Ruellia	asperula	Ruellia asperula	2015	05	28	Limoeiro do Norte	Chapada do Apodi. Margem de estrada carroçável entre Limoeiro do Norte e a fronteira com o estado do Rio Grande do Norte.	-37.873611	-5.304722	144	144	<nO>Melosa.</nO>
PreservedSpecimen	Ceará	Sapindaceae	Cardiospermum	corindum	Cardiospermum corindum	2015	05	28	Limoeiro do Norte	Chapada do Apodi. Margem de estrada carroçável entre Limoeiro do Norte e a fronteira com o estado do Rio Grande do Norte.	-37.873611	-5.304722	144	144	
PreservedSpecimen	Ceará	Rubiaceae	Borreria	apodiensis	Borreria apodiensis	2015	05	28	Limoeiro do Norte	Chapada do Apodi. Margem de estrada carroçável entre Limoeiro do Norte e a fronteira com o estado do Rio Grande do Norte.	-37.873611	-5.304722	144	144	
PreservedSpecimen	Ceará	Leguminosae Subfam. Papilionoideae	Clitoria	ternatea	Clitoria ternatea var. ternatea	1997	05	13	Quixeré	Chapada do Apodi. Fazenda Mato Alto-Manga do Cedro.	-37.879167	-5.324167	110	110	
PreservedSpecimen	Ceará	Leguminosae Subfam. Papilionoideae	Clitoria	ternatea	Clitoria ternatea var. ternatea	1997	09	17	Quixeré	Chapada do Apodi. Fazenda Mato Alto (Manga do Cedro).	-37.8925	-5.314167	100	100	
PreservedSpecimen	Ceará	Malvaceae	Pseudobombax		Pseudobombax	2014	03	11	Tabuleiro do Norte		-37.995	-5.421111	160	160	
PreservedSpecimen	Ceará	Leguminosae Subfam. Cercidoideae	Bauhinia	cheilantha	Bauhinia cheilantha	2014	03	11	Tabuleiro do Norte	Próximo ao entroncamento.	-37.995	-5.421111	160	160	
PreservedSpecimen	Ceará	Convolvulaceae	Ipomoea	incarnata	Ipomoea incarnata	2014	03	11	Tabuleiro do Norte		-37.995	-5.421111	160	160	
PreservedSpecimen	Ceará	Leguminosae Subfam. Papilionoideae	Stylosanthes		Stylosanthes	2014	03	11	Tabuleiro do Norte		-37.995	-5.421111	160	160	
PreservedSpecimen	Ceará	Leguminosae Subfam. Caesalpinioideae	Senna	martiana	Senna martiana	1977	08	20	Tabuleiro do Norte	Estrada Mossoró.	-38.1306	-5.24667			
PreservedSpecimen	Ceará	Leguminosae Subfam. Caesalpinioideae	Senna	macranthera	Senna macranthera var. pudibunda	1997	05	13	Quixeré	Chapada do Apodí. Faz. Mato Alto (Manga do Cedro).	-37.879167	-5.324167	110	110	
PreservedSpecimen	Ceará	Leguminosae Subfam. Caesalpinioideae	Senna	martiana	Senna martiana	1977	08	20	Tabuleiro do Norte	Estrada Mossoró	-38.1306	-5.24667			
PreservedSpecimen	Ceará	Euphorbiaceae	Jatropha	ribifolia	Jatropha ribifolia	2014	03	11	Tabuleiro do Norte		-37.995	-5.421111	160	160	
PreservedSpecimen	Ceará	Leguminosae Subfam. Papilionoideae	Macroptilium	lathyroides	Macroptilium lathyroides	1997	09	17	Quixeré	Chapada do Apodi. Faz. Mato Alto (Maga do Cedro).	-37.8925	-5.314167	100	100	
PreservedSpecimen	Ceará	Leguminosae Subfam. Papilionoideae	Centrosema	pascuorum	Centrosema pascuorum	1979	09	22	Juazeiro do Norte	Rodovia Juazeiro do Norte-Russa, a 5 km Sul do Rio Jaguaribe (Br-116).	-38.166667	-5.266667	50	50	
PreservedSpecimen	Ceará	Leguminosae Subfam. Cercidoideae	Bauhinia	cheilantha	Bauhinia cheilantha	1997	06	17	Quixeré	Chapada do Apodí. Faz. Mato Alto (Manga do Cedro).	-37.885	-5.326111	100	100	
PreservedSpecimen	Ceará	Leguminosae Subfam. Cercidoideae	Bauhinia	pulchella	Bauhinia pulchella	2015	05	28	Limoeiro do Norte	Chapada do Apodi. Margem de estrada carroçável entre Limoeiro do Norte e a fronteira com o estado do Rio Grande do Norte.	-37.873611	-5.304722	144	144	
PreservedSpecimen	Ceará	Rubiaceae	Cordiera		Cordiera	2014	03	11	Tabuleiro do Norte		-37.995	-5.421111	160	160	
PreservedSpecimen	Ceará	Euphorbiaceae	Croton	heliotropiifolius	Croton heliotropiifolius	2014	03	11	Tabuleiro do Norte		-37.995	-5.421111	160	160	
PreservedSpecimen	CearÃ¡	Loricariidae	Hypostomus	sertanejo	Hypostomus sertanejo	2011	06	12	Tabuleiro Do Norte	Rio Jaguaribe	-38.1977778	-5.2275			
